"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown","heightVol","totalVol","merchVol"
"143","10","617","Bl","3","1994","Live",27.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,7,20.3824642923783,0.499680621964248,0.474704023154591
"144","10","617","Bl","3","1997","Live",27.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,7,20.3435748747503,0.522294687950065,0.495856714286575
"145","10","617","Bl","3","2009","Live",29.7,NA,"Live",NA,NA,1,NA,NA,NA,NA,NA,2,7,20.7404274570833,0.600671673376677,0.570234824527471
"146","10","617","Bl","3","2019","Live",31.5,25.6,"scar in 1",NA,NA,1,NA,NA,NA,NA,NA,2,7,25.6,0.830626801786922,0.799086925287874
"147","10","620","Bl","3","2019","Live",8.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5.3,0.0155124247427983,0.013756701173681
"148","10","621","Bl","3","2009","Live",8.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5,6.21927680640495,0.0182993648983444,0.0164083023650111
"149","10","621","Bl","3","2019","Live",10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,8.60484633896534,0.0367504671238155,0.0335582428081968
"150","10","624","Bl","4","2009","Live",8.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,9,5.80326560916537,0.01597420460005,0.0142657973376427
"151","10","624","Bl","4","2019","Live",8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,6.47138626815591,0.0194699870142401,0.0175016349589255
"152","10","626","Sx","4","1992","Live",38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,24.9801736151868,1.13568062600074,1.07546471030456
"153","10","626","Sx","4","1994","Live",39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,25.0528285997249,1.17662459951719,1.11392063556849
"154","10","626","Sx","4","1997","Live",40.4,NA,"Dbh at 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,2,7,24.889681290671,1.21651748780878,1.15011344274668
"155","10","626","Sx","4","2009","Dead",40.4,NA,"Dead snag - woodpecker holes at base",NA,NA,NA,NA,NA,NA,NA,NA,2,7,24.3453669839727,1.18710141954053,1.11984895609373
"156","10","628","Bl","4","2009","Live",8.2,NA,"Live",NA,NA,NA,2,NA,NA,NA,NA,4,4,5.66124668466462,0.0152320976251413,0.0135832785107328
"157","10","628","Bl","4","2019","Dead",8.2,NA,"actual tree dead (silver tag)",NA,NA,NA,2,NA,NA,NA,NA,4,4,5.7998861602427,0.0156175839234813,0.0139503064924492
"158","10","629","Sx","4","1992","Live",29.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7,21.5696564038755,0.592915682267102,0.558190826262
"159","10","629","Sx","4","1994","Live",30.4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7,21.8068629630262,0.629665797488259,0.592924625452658
"160","10","629","Sx","4","1997","Live",30.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7,21.6293510384751,0.642599639183499,0.604298789204481
"161","10","629","Sx","4","2009","Live",33.2,NA,"Live with crooked top",NA,NA,NA,3,NA,NA,NA,NA,2,7,22.0456695606311,0.746896953676047,0.702091779557552
"162","10","629","Sx","4","2019","Live",34.3,7.3,"IBS",NA,NA,NA,3,NA,NA,NA,NA,2,7,7.3,0.233021090177482,0.19613513273296
"163","10","630","Bl","4","1994","Live",7.9,NA,"On bdy 3 - 4",NA,NA,NA,5,NA,NA,NA,NA,4,7,5.10240168356931,0.0127875147352678,0.0113306931176938
